Year,Driver,Constructor,Color,Point Difference
2022,Max Verstappen,Red Bull,"rgb(0, 11, 141)",205
2021,Max Verstappen,Red Bull,"rgb(0, 11, 141)",-28
2020,Lewis Hamilton,Mercedes,"rgb(164, 170, 174)",254
2019,Lewis Hamilton,Mercedes,"rgb(164, 170, 174)",235
2018,Lewis Hamilton,Mercedes,"rgb(164, 170, 174)",84
2017,Lewis Hamilton,Mercedes,"rgb(164, 170, 174)",146
2016,Nico Rosberg,Mercedes,"rgb(164, 170, 174)",297
2015,Lewis Hamilton,Mercedes,"rgb(164, 170, 174)",275
2014,Lewis Hamilton,Mercedes,"rgb(164, 170, 174)",296
2013,Sebastian Vettel,Red Bull,"rgb(0, 11, 141)",236
2012,Sebastian Vettel,Red Bull,"rgb(0, 11, 141)",60
2011,Sebastian Vettel,Red Bull,"rgb(0, 11, 141)",153
2010,Sebastian Vettel,Red Bull,"rgb(0, 11, 141)",44
2009,Jenson Button,BrawnGP,"rgb(184, 253, 110)",18.5
2008,Lewis Hamilton,McLaren,"rgb(255, 128, 0)",-21
2007,Kimi Raikkonen,Ferrari,"rgb(247, 13, 26 )",103
2006,Fernando Alonso,Renault,"rgb(252,233,3)",5
2005,Fernando Alonso,Renault,"rgb(252,233,3)",9
2004,Michael Schumacher,Ferrari,"rgb(247, 13, 26 )",143
2003,Michael Schumacher,Ferrari,"rgb(247, 13, 26 )",14
2002,Michael Schumacher,Ferrari,"rgb(247, 13, 26 )",129
2001,Michael Schumacher,Ferrari,"rgb(247, 13, 26 )",77
2000,Michael Schumacher,Ferrari,"rgb(247, 13, 26 )",8
1999,Mika Hakkinen,McLaren,"rgb(255, 128, 0)",-4
1998,Mika Hakkinen,McLaren,"rgb(255, 128, 0)",23
1997,Jacques Villeneuve,Williams,"rgb(0, 160, 222)",21
1996,Damon Hill,Williams,"rgb(0, 160, 222)",105
1995,Michael Schumacher,Benetton,"rgb(0, 136, 96)",29
1994,Michael Schumacher,Benetton,"rgb(0, 136, 96)",15
1993,Alain Prost,Williams,"rgb(0, 160, 222)",84
1992,Nigel Mansell,Williams,"rgb(0, 160, 222)",65
1991,Ayrton Senna,McLaren,"rgb(255, 128, 0)",14
1990,Ayrton Senna,McLaren,"rgb(255, 128, 0)",11
1989,Alain Prost,McLaren,"rgb(255, 128, 0)",64
1988,Ayrton Senna,McLaren,"rgb(255, 128, 0)",134
1987,Nelson Piquet,Williams,"rgb(0, 160, 222)",61
1986,Alain Prost,McLaren,"rgb(255, 128, 0)",-45
1985,Alain Prost,McLaren,"rgb(255, 128, 0)",8
1984,Niki Lauda,McLaren,"rgb(255, 128, 0)",86
1983,Nelson Piquet,Brabham,"rgb(53, 94, 59)",-17
1982,Keke Rosberg,Williams,"rgb(0, 160, 222)",-16
1981,Nelson Piquet,Brabham,"rgb(53, 94, 59)",-34
1980,Alan Jones,Williams,"rgb(0, 160, 222)",54
1979,Jody Scheckter,Ferrari,"rgb(247, 13, 26 )",38
1978,Mario Andretti,Lotus,"rgb(182, 153, 91)",28
1977,Niki Lauda,Ferrari,"rgb(247, 13, 26 )",33
1976,James Hunt,McLaren,"rgb(255, 128, 0)",-9
1975,Niki Lauda,Ferrari,"rgb(247, 13, 26 )",18.5
1974,Emerson Fittipaldi ,McLaren,"rgb(255, 128, 0)",8
1973,Jackie Stewart ,Tyrrell,"rgb(0,58,247)",-10
1972,Emerson Fittipaldi ,Lotus,"rgb(182, 153, 91)",10
1971,Jackie Stewart ,Tyrrell,"rgb(0,58,247)",37
1970,Jochen Rindt ,Lotus,"rgb(182, 153, 91)",7
1969,Jackie Stewart ,Matra,"rgb(210,96,239)",17
1968,Graham Hill ,Lotus,"rgb(182, 153, 91)",13
1967,Denny Hulme ,Brabham,"rgb(53, 94, 59)",19
1966,Jack Brabham ,Brabham,"rgb(53, 94, 59)",11
1965,Jim Clark ,Lotus,"rgb(182, 153, 91)",9
1964,John Surtees,Ferrari,"rgb(247, 13, 26 )",3
1963,Jim Clark ,Lotus,"rgb(182, 153, 91)",18
1962,Graham Hill ,BRM,"rgb(51,102,0)",6
1961,Phil Hill ,Ferrari,"rgb(247, 13, 26 )",10
1960,Jack Brabham ,Cooper,"rgb(102,0,204)",14
1959,Jack Brabham ,Cooper,"rgb(102,0,204)",8
1958,Mike Hawthorn ,Ferrari,"rgb(247, 13, 26 )",-8
