Driver,Age,Date Of Accident,Event,Car,Session
Cameron Earl,29,6/18/1952,N/A,ERA,Test
Chet Miller,50,5/15/1953,1953 Indianapolis 500,Kurtis Kraft,Practice
Charles de Tornaco,26,9/18/1953,1953 Modena Grand Prix,Ferrari,Practice
Onofre Marimón,30,7/31/1954,1954 German Grand Prix,Maserati,Practice
Mario Alborghetti,26,4/11/1955,1955 Pau Grand Prix,Maserati,Race
Manny Ayulo,33,5/16/1955,1955 Indianapolis 500,Kuzma,Practice
Bill Vukovich,36,5/30/1955,1955 Indianapolis 500,Kurtis Kraft,Race
Eugenio Castellotti,26,3/14/1957,N/A,Ferrari,Test
Keith Andrews,36,5/15/1957,1957 Indianapolis 500,Kurtis Kraft,Practice
Pat O'Connor,29,5/30/1958,1958 Indianapolis 500,Kurtis Kraft,Race
Luigi Musso,33,7/6/1958,1958 French Grand Prix,Ferrari,Race
Peter Collins,26,8/3/1958,1958 German Grand Prix,Ferrari,Race
Stuart Lewis-Evans,28,9/19/1958,1958 Moroccan Grand Prix,Vanwall,Race
Jerry Unser Jr.,26,5/17/1959,1959 Indianapolis 500,Kurtis Kraft,Pre-race test
Harry Schell,38,5/13/1960,1960 BRDC International Trophy,Cooper,Practice
Bob Cortner,32,5/19/1959,1959 Indianapolis 500,Cornis,Pre-race test
Chris Bristow,22,6/19/1960,1960 Belgian Grand Prix,Cooper,Race
Alan Stacey,26,6/19/1960,1960 Belgian Grand Prix,Lotus,Race
Shane Summers,24,6/1/1961,1961 Silver City Trophy,Cooper,Practice
Giulio Cabianca,38,6/15/1961,N/A,Cooper,Test
Wolfgang von Trips,33,9/10/1961,1961 Italian Grand Prix,Ferrari,Race
Ricardo Rodríguez,20,11/1/1962,1962 Mexican Grand Prix,Lotus,Practice
Gary Hocking,25,12/21/1962,1962 Natal Grand Prix,Lotus,Practice
Carel Godin de Beaufort,30,8/2/1964,1964 German Grand Prix,Porsche,Practice
John Taylor,33,8/7/1966,1966 German Grand Prix,Brabham,Race
Lorenzo Bandini,31,5/7/1967,1967 Monaco Grand Prix,Ferrari,Race
Bob Anderson,36,8/14/1967,N/A,Brabham,Test
Jo Schlesser,40,7/7/1968,1968 French Grand Prix,Honda,Race
Gerhard Mitter,33,8/2/1969,1969 German Grand Prix,BMW,Practice
Martin Brain,,5/25/1970,Nottingham Sportscar Club Meeting,Cooper,Race
Piers Courage,28,6/7/1970,1970 Dutch Grand Prix,De Tomaso,Race
Jochen Rindt,28,9/5/1970,1970 Italian Grand Prix,Lotus,Qualifying
Jo Siffert,35,10/24/1971,1971 World Championship Victory Race,BRM,Race
Roger Williamson,25,7/29/1973,1973 Dutch Grand Prix,March,Race
François Cevert,29,10/6/1973,1973 United States Grand Prix,Tyrrell,Qualifying
Peter Revson,35,3/22/1974,1974 South African Grand Prix,Shadow,Pre-race test
Helmuth Koinigg,25,10/6/1974,1974 United States Grand Prix,Surtees,Race
Mark Donohue,38,8/19/1975,1975 Austrian Grand Prix,Penske,Practice
Tom Pryce,27,3/5/1977,1977 South African Grand Prix,Shadow,Race
Brian McGuire,31,8/29/1977,1977 Shellsport Championship,McGuire,Practice
Ronnie Peterson,34,9/10/1978,1978 Italian Grand Prix,Lotus,Race
Patrick Depailler,35,8/1/1980,N/A,Alfa Romeo,Test
Gilles Villeneuve,32,5/8/1982,1982 Belgian Grand Prix,Ferrari,Qualifying
Riccardo Paletti,23,6/13/1982,1982 Canadian Grand Prix,Osella,Race
Elio de Angelis,28,5/15/1986,N/A,Brabham,Test
Roland Ratzenberger,33,4/30/1994,1994 San Marino Grand Prix,Simtek,Qualifying
Ayrton Senna,34,5/1/1994,1994 San Marino Grand Prix,Williams,Race
John Dawson-Damer,59,6/24/2000,2000 Goodwood Festival of Speed,Lotus,Demonstration
Fritz Glatz,58,7/14/2002,2002 EuroBOSS Series Season,Footwork,Race
Maria de Villota,33,7/3/2012,N/A,Marussia,Test
Jules Bianchi,25,10/5/2014,2014 Japanese Grand Prix,Marussia,Race
